Year,Energy Source,Energy Consumption
2015,Coal,"1,356.06"
2014,Coal,"1,581.71"
2013,Coal,"1,581.12"
2012,Coal,"1,514.04"
2011,Coal,"1,733.40"
2010,Coal,"1,847.30"
2009,Coal,"1,755.90"
2008,Coal,"1,985.80"
2007,Coal,"2,016.50"
2000,Coal,"1,966"
1999,Coal,"1,881"
2015,Oil,28.44
2014,Oil,30.23
2013,Oil,27.16
2012,Oil,23.19
2011,Oil,30.2
2010,Oil,37.1
2009,Oil,38.9
2008,Oil,46.2
2007,Oil,65.7
2000,Oil,111
1999,Oil,118
2015,Gas,"1,348.03"
2014,Gas,"1,138.63"
2013,Gas,"1,137.69"
2012,Gas,"1,237.79"
2011,Gas,"1,025.30"
2010,Gas,999
2009,Gas,931.6
2008,Gas,894.7
2007,Gas,910
2000,Gas,615
1999,Gas,57l
2015,Non Renewable,"2,732.53"
2014,Non Renewable,"2,750.57"
2013,Non Renewable,"2,745.97"
2012,Non Renewable,"2,775.02"
2011,Non Renewable,"2,788.90"
2010,Non Renewable,"2,883.40"
2009,Non Renewable,"2,726.50"
2008,Non Renewable,"2,926.70"
2007,Non Renewable,"2,992.20"
2000,Non Renewable,"2,692"
1999,Non Renewable,"2,570"
2015,Nuclear,797.18
2014,Nuclear,797.17
2013,Nuclear,789.02
2012,Nuclear,769.33
2011,Nuclear,790.2
2010,Nuclear,807
2009,Nuclear,798.9
2008,Nuclear,806.2
2007,Nuclear,806.4
2000,Nuclear,754
1999,Nuclear,728
2015,Hydro,251.17
2014,Hydro,259.37
2013,Hydro,268.57
2012,Hydro,276.24
2011,Hydro,319.4
2010,Hydro,260.2
2009,Hydro,273.4
2008,Hydro,254.8
2007,Hydro,247.5
2000,Hydro,260
1999,Hydro,319.5
2015,Geo Thermal,16.77
2014,Geo Thermal,15.88
2013,Geo Thermal,15.78
2012,Geo Thermal,15.56
2011,Geo Thermal,15.3
2010,Geo Thermal,15.2
2009,Geo Thermal,15
2008,Geo Thermal,14.8
2007,Geo Thermal,14.6
2000,Geo Thermal,14
1999,Geo Thermal,14.8
2015,Solar,26.47
2014,Solar,17.69
2013,Solar,9.04
2012,Solar,4.33
2011,Solar,1.82
2010,Solar,1.21
2009,Solar,0.89
2008,Solar,0.86
2007,Solar,0.61
2000,Solar,0.49
1999,Solar,0.5
2015,Wind,190.93
2014,Wind,181.655
2013,Wind,167.84
2012,Wind,140.82
2011,Wind,120.2
2010,Wind,94.7
2009,Wind,73.9
2008,Wind,55.4
2007,Wind,34.5
2000,Wind,5.6
1999,Wind,4.5
2015,Wood,42.36
2014,Wood,42.34
2013,Wood,40
2012,Wood,37.8
2011,Wood,37.4
2010,Wood,37.2
2009,Wood,36.1
2008,Wood,37.3
2007,Wood,39
2000,Wood,37.6
1999,Wood,37
2015,Bio other,21.83
2014,Bio other,21.65
2013,Bio other,20.83
2012,Bio other,19.82
2011,Bio other,19.2
2010,Bio other,18.9
2009,Bio other,18.4
2008,Bio other,17.7
2007,Bio other,16.5
2000,Bio other,23
1999,Bio other,22.6
2015,Renewable,549.53
2014,Renewable,538.58
2013,Renewable,522.07
2012,Renewable,494.57
2011,Renewable,513.32
2010,Renewable,427.4
2009,Renewable,417.7
2008,Renewable,380.9
2007,Renewable,352.7
2000,Renewable,318.7
1999,Renewable,392.8
2015,Misc,8.15
2014,Misc,60.5
2013,Misc,55.64
2012,Misc,56.1
2011,Misc,46
2010,Misc,33.3
2009,Misc,41.4
2008,Misc,38.3
2007,Misc,36.6
2000,Misc,38.6
1999,Misc,55
2015,Total,"4,087.39"
2014,Total,"4,146.20"
2013,Total,"4,112.70"
2012,Total,4095
2011,Total,4138.4
2010,Total,"4,151.00"
2009,Total,"3,984.40"
2008,Total,"4,152.20"
2007,Total,"4,188.00"
2000,Total,"3,836"
1999,Total,"3,723.80"
